geneId,geneSymbol,DSI,DPI,PLI,protein_class_name,protein_class,NofDiseases,NofPmids
1410,CRYAB,0.52,0.73,0.02,NULL,NULL,200,185
1421,CRYGD,0.51,0.81,0.00,NULL,NULL,168,296
1429,CRYZ,0.52,0.73,0.00,NULL,NULL,145,196
1432,MAPK14,0.38,0.92,0.37,Kinase,DTO_03300101,626,1297
1434,CSE1L,0.52,0.81,1.00,"Enzyme modulator",DTO_05007584,163,132
1435,CSF1,0.47,0.81,1.00,NULL,NULL,259,303
1436,CSF1R,0.45,0.81,0.13,Kinase,DTO_03300101,356,385
1437,CSF2,0.33,0.96,0.83,Signaling,DTO_05007599,1028,2154
1440,CSF3,0.38,0.89,0.38,NULL,NULL,687,1047
1441,CSF3R,0.55,0.69,0.00,Signaling,DTO_05007599,120,174
1442,CSH1,0.57,0.81,0.00,Signaling,DTO_05007599,105,155
1443,CSH2,0.57,0.81,0.01,Signaling,DTO_05007599,104,153
1462,VCAN,0.50,0.81,1.00,"Extracellular structure",DTO_05007621,205,188
1471,CST3,0.44,0.81,0.00,NULL,NULL,370,585
1476,CSTB,0.53,0.69,0.01,"Enzyme modulator",DTO_05007584,155,131
1482,NKX2-5,0.53,0.69,0.95,"Transcription factor",DTO_05007542,165,134
1483,CTAA1,0.57,0.73,NULL,NULL,NULL,106,127
1485,CTAG1B,0.51,0.73,NULL,NULL,NULL,166,232
1490,CCN2,0.40,0.85,0.00,Signaling,DTO_05007599,518,706
1493,CTLA4,0.37,0.92,0.94,NULL,NULL,722,1761
1497,CTNS,0.63,0.54,0.00,NULL,NULL,88,100
1499,CTNNB1,0.30,0.89,1.00,NULL,NULL,1368,5363
1500,CTNND1,0.50,0.81,1.00,"Cellular structure",DTO_05007530,196,219
1508,CTSB,0.46,0.85,0.00,Enzyme,DTO_05007624,304,376
1509,CTSD,0.48,0.85,0.00,Enzyme,DTO_05007624,242,317
1513,CTSK,0.50,0.81,0.00,Enzyme,DTO_05007624,221,215
1514,CTSL,0.49,0.85,0.01,Enzyme,DTO_05007624,225,191
1520,CTSS,0.54,0.73,0.34,Enzyme,DTO_05007624,131,110
1523,CUX1,0.47,0.85,1.00,"Transcription factor",DTO_05007542,283,313
1524,CX3CR1,0.46,0.89,0.06,"G-protein coupled receptor",DTO_02300001,310,343
1525,CXADR,0.45,0.89,0.37,NULL,NULL,305,520
1535,CYBA,0.52,0.77,0.00,NULL,NULL,177,217
1536,CYBB,0.45,0.89,1.00,"Ion channel",DTO_01300327,343,533
1540,CYLD,0.50,0.85,1.00,Enzyme,DTO_05007624,211,260
1543,CYP1A1,0.44,0.85,0.00,Enzyme,DTO_05007624,379,906
1544,CYP1A2,0.49,0.92,0.00,Enzyme,DTO_05007624,218,318
1545,CYP1B1,0.46,0.77,0.00,Enzyme,DTO_05007624,304,523
1548,CYP2A6,0.56,0.73,0.00,NULL,NULL,133,159
1555,CYP2B6,0.43,0.85,0.00,NULL,NULL,388,582
1557,CYP2C19,0.47,0.85,0.00,NULL,NULL,274,523
1559,CYP2C9,0.51,0.89,0.00,NULL,NULL,201,284
1565,CYP2D6,0.44,0.89,0.00,NULL,NULL,432,754
1571,CYP2E1,0.46,0.89,0.00,NULL,NULL,306,538
1576,CYP3A4,0.46,0.89,0.00,Enzyme,DTO_05007624,291,423
1577,CYP3A5,0.51,0.85,0.00,Enzyme,DTO_05007624,179,205
1583,CYP11A1,0.55,0.73,0.00,NULL,NULL,166,108
1584,CYP11B1,0.56,0.62,0.00,NULL,NULL,139,171
1585,CYP11B2,0.55,0.62,0.00,NULL,NULL,142,334
1586,CYP17A1,0.46,0.77,0.00,NULL,NULL,326,524
1588,CYP19A1,0.41,0.89,0.00,Enzyme,DTO_05007624,519,1673
1589,CYP21A2,0.53,0.77,0.00,NULL,NULL,166,559
1591,CYP24A1,0.52,0.69,0.00,Enzyme,DTO_05007624,171,220
1593,CYP27A1,0.54,0.73,0.00,Enzyme,DTO_05007624,167,195
1594,CYP27B1,0.50,0.77,0.00,Enzyme,DTO_05007624,229,255
1604,CD55,0.51,0.81,0.00,NULL,NULL,187,143
1605,DAG1,0.50,0.81,0.98,Receptor,DTO_05007575,230,239
1611,DAP,0.53,0.81,0.00,"Enzyme modulator",DTO_05007584,144,123
1612,DAPK1,0.47,0.81,1.00,Kinase,DTO_03300101,249,262
1616,DAXX,0.54,0.69,0.10,NULL,NULL,137,107
1621,DBH,0.51,0.85,0.00,NULL,NULL,202,244
1628,DBP,0.56,0.73,0.23,"Nucleic acid binding",DTO_05007557,105,195
1630,DCC,0.47,0.81,0.99,NULL,NULL,279,300
1634,DCN,0.46,0.81,0.31,NULL,NULL,297,295
1636,ACE,0.33,0.92,0.00,Enzyme,DTO_05007624,1082,3552
1641,DCX,0.51,0.77,0.30,NULL,NULL,175,173
1644,DDC,0.54,0.77,0.00,NULL,NULL,164,153
1647,GADD45A,0.53,0.77,0.04,NULL,NULL,151,132
1649,DDIT3,0.47,0.85,0.59,NULL,NULL,264,366
1654,DDX3X,0.54,0.77,1.00,NULL,NULL,180,122
1666,DECR1,0.43,0.89,0.00,Enzyme,DTO_05007624,399,871
1672,DEFB1,0.51,0.81,0.41,NULL,NULL,177,164
1673,DEFB4A,0.51,0.77,0.00,NULL,NULL,177,169
1674,DES,0.46,0.85,0.01,NULL,NULL,330,443
1678,TIMM8A,0.51,0.85,0.65,NULL,NULL,200,267
1717,DHCR7,0.50,0.85,0.00,Enzyme,DTO_05007624,266,195
1718,DHCR24,0.50,0.77,0.03,Enzyme,DTO_05007624,216,165
1719,DHFR,0.51,0.81,0.03,Enzyme,DTO_05007624,191,269
1728,NQO1,0.43,0.89,0.00,NULL,NULL,368,554
1736,DKC1,0.55,0.77,1.00,"Nucleic acid binding",DTO_05007557,168,113
1738,DLD,0.52,0.77,0.01,Enzyme,DTO_05007624,190,279
1742,DLG4,0.60,0.65,1.00,Receptor,DTO_05007575,91,152
1755,DMBT1,0.53,0.65,0.00,Enzyme,DTO_05007624,135,104
1756,DMD,0.42,0.92,1.00,NULL,NULL,484,2095
1757,SARDH,0.52,0.85,0.00,Enzyme,DTO_05007624,166,229
1760,DMPK,0.60,0.69,0.04,Kinase,DTO_03300101,96,270
1773,DNASE1,0.51,0.85,0.00,NULL,NULL,180,162
1785,DNM2,0.54,0.77,1.00,"Enzyme modulator",DTO_05007584,178,126
1786,DNMT1,0.41,0.89,1.00,"Epigenetic regulator",DTO_05007378,496,773
1788,DNMT3A,0.45,0.85,0.00,NULL,NULL,350,469
1789,DNMT3B,0.45,0.85,0.20,NULL,NULL,315,383
1803,DPP4,0.42,0.81,0.00,Enzyme,DTO_05007624,451,1174
1805,DPT,0.64,0.65,0.00,"Extracellular structure",DTO_05007621,60,141
1806,DPYD,0.49,0.85,0.00,Enzyme,DTO_05007624,249,353
1811,SLC26A3,0.55,0.69,0.00,Transporter,DTO_05007405,128,116
1812,DRD1,0.53,0.81,0.96,"G-protein coupled receptor",DTO_02300001,181,179
1813,DRD2,0.44,0.85,0.75,"G-protein coupled receptor",DTO_02300001,437,1008
1814,DRD3,0.53,0.69,0.00,"G-protein coupled receptor",DTO_02300001,199,316
1815,DRD4,0.52,0.58,0.00,"G-protein coupled receptor",DTO_02300001,189,487
1822,ATN1,0.41,0.89,1.00,NULL,NULL,499,1036
1827,RCAN1,0.57,0.81,0.02,Signaling,DTO_05007599,110,123
1828,DSG1,0.61,0.54,0.93,"Cell adhesion",DTO_05007620,81,154
1829,DSG2,0.60,0.69,0.00,"Cell adhesion",DTO_05007620,83,117
1830,DSG3,0.60,0.65,0.00,"Cell adhesion",DTO_05007620,78,154
1832,DSP,0.51,0.81,1.00,"Cellular structure",DTO_05007530,191,171
1834,DSPP,0.56,0.77,0.00,NULL,NULL,114,187
1839,HBEGF,0.52,0.77,0.08,Signaling,DTO_05007599,155,144
1843,DUSP1,0.49,0.81,0.01,NULL,NULL,214,201
1848,DUSP6,0.51,0.85,0.98,NULL,NULL,196,101
1859,DYRK1A,0.53,0.77,1.00,Kinase,DTO_03300101,212,192
1861,TOR1A,0.57,0.73,0.00,Chaperone,DTO_05007613,115,337
1869,E2F1,0.44,0.85,0.99,"Nucleic acid binding",DTO_05007557,324,644
1871,E2F3,0.57,0.69,0.95,"Nucleic acid binding",DTO_05007557,98,123
1890,TYMP,0.50,0.77,0.00,Enzyme,DTO_05007624,246,278
1896,EDA,0.55,0.81,0.97,NULL,NULL,150,186
1901,S1PR1,0.55,0.77,0.73,"G-protein coupled receptor",DTO_02300001,126,135
1902,LPAR1,0.53,0.81,0.19,"G-protein coupled receptor",DTO_02300001,145,117
1906,EDN1,0.38,0.85,0.46,Signaling,DTO_05007599,679,1004
1909,EDNRA,0.43,0.89,0.99,"G-protein coupled receptor",DTO_02300001,427,605
1910,EDNRB,0.47,0.85,0.01,"G-protein coupled receptor",DTO_02300001,300,289
1917,EEF1A2,0.55,0.81,1.00,Enzyme,DTO_05007624,166,119
1950,EGF,0.36,0.92,0.00,NULL,NULL,774,2462
1956,EGFR,0.30,0.89,0.37,Kinase,DTO_03300101,1394,13546
1958,EGR1,0.43,0.92,0.35,"Nucleic acid binding",DTO_05007557,378,521
1959,EGR2,0.55,0.77,0.50,"Nucleic acid binding",DTO_05007557,133,113
1969,EPHA2,0.50,0.73,0.00,Kinase,DTO_03300101,187,268
1977,EIF4E,0.45,0.85,0.94,"Nucleic acid binding",DTO_05007557,317,542
1978,EIF4EBP1,0.49,0.89,0.21,"Nucleic acid binding",DTO_05007557,201,217
1981,EIF4G1,0.55,0.81,1.00,"Nucleic acid binding",DTO_05007557,139,125
1991,ELANE,0.45,0.85,0.00,Enzyme,DTO_05007624,346,468
1993,ELAVL2,0.49,0.81,1.00,NULL,NULL,199,324
1999,ELF3,0.55,0.81,0.98,"Transcription factor",DTO_05007542,112,110
2004,ELK3,0.49,0.85,0.08,"Transcription factor",DTO_05007542,220,279
2006,ELN,0.42,0.89,0.00,NULL,NULL,545,595
2010,EMD,0.54,0.73,0.93,NULL,NULL,163,200
2011,MARK2,0.56,0.69,1.00,Kinase,DTO_03300101,115,104
2012,EMP1,0.56,0.77,0.50,"Cellular structure",DTO_05007530,114,101
2017,CTTN,0.55,0.77,0.09,"Cellular structure",DTO_05007530,124,162
2022,ENG,0.45,0.85,1.00,NULL,NULL,371,419
2023,ENO1,0.48,0.89,0.00,Enzyme,DTO_05007624,231,210
2026,ENO2,0.48,0.85,0.38,Enzyme,DTO_05007624,239,320
2028,ENPEP,0.56,0.73,0.00,Enzyme,DTO_05007624,117,118
2033,EP300,0.46,0.85,1.00,NULL,NULL,345,212
2034,EPAS1,0.45,0.73,0.60,"Transcription factor",DTO_05007542,293,507
2041,EPHA1,0.54,0.73,0.00,Kinase,DTO_03300101,119,151
2042,EPHA3,0.50,0.69,0.00,Kinase,DTO_03300101,193,185
2047,EPHB1,0.52,0.85,1.00,Kinase,DTO_03300101,169,205
2048,EPHB2,0.37,0.85,1.00,Kinase,DTO_03300101,649,1797
2050,EPHB4,0.52,0.69,0.01,Kinase,DTO_03300101,157,143
2052,EPHX1,0.50,0.85,0.00,NULL,NULL,196,229
2054,STX2,0.63,0.58,0.00,Transporter,DTO_05007405,71,123
2056,EPO,0.38,0.89,0.01,NULL,NULL,646,1258
2057,EPOR,0.53,0.69,0.01,Receptor,DTO_05007575,162,169
2064,ERBB2,0.33,0.92,0.01,Kinase,DTO_03300101,995,10754
2065,ERBB3,0.45,0.81,0.00,Kinase,DTO_03300101,318,629
2066,ERBB4,0.46,0.85,1.00,Kinase,DTO_03300101,317,411
2067,ERCC1,0.45,0.85,0.00,Enzyme,DTO_05007624,345,656
2068,ERCC2,0.42,0.85,0.00,Enzyme,DTO_05007624,499,661
2069,EREG,0.55,0.69,0.00,Signaling,DTO_05007599,121,136
2071,ERCC3,0.50,0.85,0.00,Enzyme,DTO_05007624,253,128
2072,ERCC4,0.47,0.85,0.00,Enzyme,DTO_05007624,325,164
2073,ERCC5,0.50,0.73,0.00,NULL,NULL,238,188
2074,ERCC6,0.51,0.81,0.00,NULL,NULL,257,170
2078,ERG,0.45,0.81,0.96,"Transcription factor",DTO_05007542,298,850
2081,ERN1,0.51,0.81,0.99,Kinase,DTO_03300101,163,167
2091,FBL,0.57,0.65,0.99,Enzyme,DTO_05007624,94,286
2096,ESAT,0.72,0.31,NULL,NULL,NULL,23,111
2099,ESR1,0.32,0.96,1.00,"Nuclear receptor",DTO_00102000,1101,7795
2100,ESR2,0.40,0.92,0.00,"Nuclear receptor",DTO_00102000,528,1029
2101,ESRRA,0.55,0.65,0.60,"Nuclear receptor",DTO_00102000,112,111
2103,ESRRB,0.57,0.85,0.13,"Nuclear receptor",DTO_00102000,102,110
2108,ETFA,0.51,0.73,0.00,Enzyme,DTO_05007624,195,148
2113,ETS1,0.44,0.73,0.78,"Transcription factor",DTO_05007542,327,350
2114,ETS2,0.55,0.81,1.00,"Transcription factor",DTO_05007542,115,122
2115,ETV1,0.63,0.39,0.94,"Transcription factor",DTO_05007542,62,120
2118,ETV4,0.55,0.50,0.00,"Transcription factor",DTO_05007542,120,138
2119,ETV5,0.57,0.73,1.00,"Transcription factor",DTO_05007542,121,118
2120,ETV6,0.48,0.73,0.97,"Transcription factor",DTO_05007542,241,688
2122,MECOM,0.51,0.73,1.00,NULL,NULL,191,282
2125,EVPL,0.60,0.42,0.00,"Cellular structure",DTO_05007530,66,166
2130,EWSR1,0.47,0.69,1.00,"Nucleic acid binding",DTO_05007557,251,860
2131,EXT1,0.52,0.77,1.00,Enzyme,DTO_05007624,205,242
2132,EXT2,0.58,0.65,0.00,Enzyme,DTO_05007624,137,145
2138,EYA1,0.53,0.73,0.95,NULL,NULL,168,109
2146,EZH2,0.38,0.89,1.00,"Epigenetic regulator",DTO_05007378,653,1434
2147,F2,0.42,0.89,0.00,Enzyme,DTO_05007624,490,1262
2149,F2R,0.44,0.85,0.01,"G-protein coupled receptor",DTO_02300001,347,449
2150,F2RL1,0.48,0.77,0.00,"G-protein coupled receptor",DTO_02300001,256,316
2152,F3,0.42,0.85,0.02,Receptor,DTO_05007575,456,777
2153,F5,0.44,0.85,0.00,Enzyme,DTO_05007624,369,1181
2155,F7,0.62,0.62,0.00,Enzyme,DTO_05007624,99,150
2157,F8,0.54,0.77,1.00,Enzyme,DTO_05007624,149,577
2158,F9,0.47,0.89,1.00,Enzyme,DTO_05007624,276,946
2159,F10,0.49,0.77,0.00,Enzyme,DTO_05007624,228,350
2160,F11,0.59,0.69,0.00,Enzyme,DTO_05007624,100,176
2161,F12,0.61,0.58,0.00,Enzyme,DTO_05007624,87,113
2162,F13A1,0.58,0.73,0.00,Enzyme,DTO_05007624,117,101
2166,FAAH,0.55,0.69,0.00,NULL,NULL,177,185
2167,FABP4,0.50,0.81,0.00,NULL,NULL,194,230
2169,FABP2,0.61,0.65,0.00,NULL,NULL,65,100
2175,FANCA,0.51,0.73,0.00,NULL,NULL,211,207
2176,FANCC,0.51,0.81,0.00,NULL,NULL,218,182
2177,FANCD2,0.48,0.89,0.00,NULL,NULL,272,313
2184,FAH,0.61,0.54,0.00,NULL,NULL,78,137
2185,PTK2B,0.45,0.81,0.94,Kinase,DTO_03300101,319,509
2187,FANCB,0.47,0.77,1.00,NULL,NULL,278,338
2191,FAP,0.50,0.81,0.00,Enzyme,DTO_05007624,216,223
2194,FASN,0.47,0.85,1.00,Enzyme,DTO_05007624,245,408
2195,FAT1,0.51,0.81,0.00,NULL,NULL,178,136
2200,FBN1,0.42,0.85,1.00,"Calcium-binding protein",DTO_05007616,552,733
2201,FBN2,0.51,0.81,1.00,"Calcium-binding protein",DTO_05007616,211,168
2202,EFEMP1,0.54,0.77,1.00,"Extracellular structure",DTO_05007621,153,150
2208,FCER2,0.56,0.65,0.00,Receptor,DTO_05007575,104,159
2209,FCGR1A,0.53,0.73,0.00,"Cell adhesion",DTO_05007620,141,149
2212,FCGR2A,0.48,0.77,0.00,"Cell adhesion",DTO_05007620,227,318
2213,FCGR2B,0.52,0.85,0.46,"Cell adhesion",DTO_05007620,155,189
2214,FCGR3A,0.43,0.96,0.00,"Cell adhesion",DTO_05007620,352,523
2215,FCGR3B,0.45,0.96,0.00,"Cell adhesion",DTO_05007620,291,390
2220,FCN2,0.52,0.85,0.00,Signaling,DTO_05007599,159,135
2232,FDXR,0.57,0.81,0.00,Enzyme,DTO_05007624,103,115
2235,FECH,0.59,0.58,0.00,Enzyme,DTO_05007624,88,161
2242,FES,0.59,0.77,0.00,Kinase,DTO_03300101,101,102
2243,FGA,0.57,0.77,0.00,NULL,NULL,118,102
2244,FGB,0.58,0.69,0.57,Signaling,DTO_05007599,95,136
2246,FGF1,0.51,0.85,0.44,Signaling,DTO_05007599,184,196
2247,FGF2,0.38,0.92,0.02,Signaling,DTO_05007599,635,1052
2248,FGF3,0.51,0.81,0.00,Signaling,DTO_05007599,200,184
2252,FGF7,0.52,0.85,0.77,Signaling,DTO_05007599,167,165
2255,FGF10,0.53,0.69,0.94,Signaling,DTO_05007599,152,103
2258,FGF13,0.51,0.81,0.89,Signaling,DTO_05007599,167,142
2260,FGFR1,0.36,0.89,1.00,Kinase,DTO_03300101,816,852
2261,FGFR3,0.39,0.85,0.00,Kinase,DTO_03300101,654,856
2263,FGFR2,0.38,0.81,1.00,Kinase,DTO_03300101,731,816
2264,FGFR4,0.49,0.77,0.00,Kinase,DTO_03300101,220,257
2271,FH,0.49,0.85,0.09,Enzyme,DTO_05007624,231,311
2272,FHIT,0.44,0.85,0.01,NULL,NULL,337,547
2273,FHL1,0.53,0.73,0.97,NULL,NULL,195,110
2277,VEGFD,0.54,0.77,0.00,Signaling,DTO_05007599,132,133
2288,FKBP4,0.53,0.77,0.16,Enzyme,DTO_05007624,149,159
2289,FKBP5,0.52,0.77,0.73,Enzyme,DTO_05007624,179,290
2290,FOXG1,0.52,0.69,0.94,NULL,NULL,224,117
2296,FOXC1,0.48,0.85,0.95,"Transcription factor",DTO_05007542,242,229
2303,FOXC2,0.52,0.73,0.13,"Transcription factor",DTO_05007542,168,133
2305,FOXM1,0.44,0.77,0.00,NULL,NULL,323,631
2308,FOXO1,0.43,0.85,1.00,NULL,NULL,380,758
2309,FOXO3,0.43,0.81,0.99,NULL,NULL,381,561
2312,FLG,0.53,0.85,0.00,"Cellular structure",DTO_05007530,173,467
2313,FLI1,0.47,0.69,0.99,"Transcription factor",DTO_05007542,318,291
2314,FLII,0.52,0.81,0.00,NULL,NULL,198,136
2315,MLANA,0.58,0.69,0.00,NULL,NULL,92,211
2316,FLNA,0.42,0.85,1.00,NULL,NULL,571,305
2317,FLNB,0.46,0.92,0.00,NULL,NULL,374,227
2318,FLNC,0.57,0.62,1.00,NULL,NULL,132,102
2321,FLT1,0.42,0.85,1.00,Kinase,DTO_03300101,424,610
2322,FLT3,0.46,0.65,0.61,Kinase,DTO_03300101,270,1452
2324,FLT4,0.46,0.81,1.00,Kinase,DTO_03300101,306,467
2332,FMR1,0.47,0.77,0.65,"Nucleic acid binding",DTO_05007557,346,1215
2335,FN1,0.37,0.96,0.00,Signaling,DTO_05007599,724,1414
2346,FOLH1,0.45,0.89,0.00,Enzyme,DTO_05007624,311,1017
2348,FOLR1,0.52,0.89,0.13,NULL,NULL,174,202
2350,FOLR2,0.56,0.65,0.00,NULL,NULL,105,103
2353,FOS,0.41,0.89,0.26,"Transcription factor",DTO_05007542,528,580
2354,FOSB,0.46,0.85,0.98,"Transcription factor",DTO_05007542,278,334
2358,FPR2,0.55,0.77,0.40,"G-protein coupled receptor",DTO_02300001,124,128
2395,FXN,0.51,0.65,0.34,Enzyme,DTO_05007624,220,587
2475,MTOR,0.34,0.89,1.00,Kinase,DTO_03300101,960,2036
2477,FRAXA,0.64,0.46,NULL,NULL,NULL,50,126
2492,FSHR,0.54,0.65,0.00,"G-protein coupled receptor",DTO_02300001,158,212
2494,NR5A2,0.56,0.73,0.24,"Nuclear receptor",DTO_00102000,116,110
2512,FTL,0.56,0.69,0.00,Storage,DTO_05007612,135,100
2516,NR5A1,0.48,0.73,0.99,"Nuclear receptor",DTO_00102000,255,203
2520,GAST,0.49,0.81,0.00,NULL,NULL,236,409
2521,FUS,0.47,0.85,1.00,"Nucleic acid binding",DTO_05007557,301,711
2523,FUT1,0.54,0.69,0.00,Enzyme,DTO_05007624,136,179
2524,FUT2,0.55,0.73,0.00,Enzyme,DTO_05007624,126,116
2526,FUT4,0.51,0.73,0.00,Enzyme,DTO_05007624,168,208
2532,ACKR1,0.61,0.73,0.00,"G-protein coupled receptor",DTO_02300001,91,136
2534,FYN,0.56,0.73,0.99,Kinase,DTO_03300101,116,100
2538,G6PC,0.56,0.69,0.00,NULL,NULL,132,253
2539,G6PD,0.42,0.85,0.97,Enzyme,DTO_05007624,410,827
2547,XRCC6,0.55,0.77,1.00,Enzyme,DTO_05007624,119,133
2548,GAA,0.63,0.58,0.00,Enzyme,DTO_05007624,77,361
2551,GABPA,0.38,0.89,1.00,"Transcription factor",DTO_05007542,632,1679
2562,GABRB3,0.55,0.62,0.95,"Ion channel",DTO_01300327,139,118
2566,GABRG2,0.55,0.65,0.74,"Ion channel",DTO_01300327,169,104
2571,GAD1,0.49,0.89,0.05,Enzyme,DTO_05007624,245,501
2572,GAD2,0.53,0.73,0.75,Enzyme,DTO_05007624,173,315
2581,GALC,0.60,0.62,0.00,NULL,NULL,99,166
2588,GALNS,0.56,0.81,0.00,Enzyme,DTO_05007624,138,190
2592,GALT,0.61,0.65,0.00,Enzyme,DTO_05007624,87,196
2597,GAPDH,0.45,0.81,0.11,Enzyme,DTO_05007624,305,397
2621,GAS6,0.50,0.77,0.03,"Extracellular structure",DTO_05007621,190,176
2623,GATA1,0.48,0.81,0.95,NULL,NULL,264,306
2624,GATA2,0.50,0.65,0.98,NULL,NULL,229,217
2625,GATA3,0.42,0.85,0.90,NULL,NULL,429,538
2626,GATA4,0.46,0.85,0.49,NULL,NULL,336,278
2627,GATA6,0.48,0.81,1.00,NULL,NULL,259,155
2629,GBA,0.50,0.81,0.00,NULL,NULL,319,707
2630,GBAP1,0.62,0.54,NULL,NULL,NULL,64,202
2638,GC,0.49,0.89,0.00,Transporter,DTO_05007405,219,261
2639,GCDH,0.69,0.39,0.00,NULL,NULL,72,138
2641,GCG,0.43,0.89,0.03,NULL,NULL,441,1659
2643,GCH1,0.51,0.85,0.90,Enzyme,DTO_05007624,254,320
2645,GCK,0.52,0.81,0.63,Kinase,DTO_03300101,210,585
2646,GCKR,0.60,0.62,0.00,NULL,NULL,136,240
2660,MSTN,0.53,0.73,0.51,Signaling,DTO_05007599,159,201
2668,GDNF,0.43,0.89,0.20,Signaling,DTO_05007599,409,489
2669,GEM,0.47,0.77,0.00,NULL,NULL,251,364
2670,GFAP,0.42,0.89,0.00,NULL,NULL,447,914
2678,GGT1,0.50,0.89,0.00,Enzyme,DTO_05007624,209,233
2688,GH1,0.37,0.92,0.03,Signaling,DTO_05007599,686,1618
2690,GHR,0.49,0.85,0.00,Signaling,DTO_05007599,247,362
2691,GHRH,0.50,0.77,0.15,Signaling,DTO_05007599,176,182
2692,GHRHR,0.57,0.69,0.00,"G-protein coupled receptor",DTO_02300001,90,122
2693,GHSR,0.53,0.77,0.01,"G-protein coupled receptor",DTO_02300001,171,179
2694,CBLIF,0.51,0.81,0.00,NULL,NULL,185,177
2695,GIP,0.57,0.65,0.27,NULL,NULL,110,243
2697,GJA1,0.39,0.89,0.16,"Cell-cell junction",DTO_05007527,662,673
2705,GJB1,0.51,0.73,0.85,"Cell-cell junction",DTO_05007527,224,341
2706,GJB2,0.44,0.85,0.00,"Cell-cell junction",DTO_05007527,392,841
2717,GLA,0.54,0.77,1.00,NULL,NULL,190,614
2719,GPC3,0.47,0.81,1.00,NULL,NULL,311,339
2720,GLB1,0.45,0.81,0.00,Enzyme,DTO_05007624,385,520
2729,GCLC,0.51,0.89,0.43,Enzyme,DTO_05007624,198,168
2735,GLI1,0.43,0.85,0.00,NULL,NULL,369,666
2736,GLI2,0.45,0.85,0.97,NULL,NULL,351,276
2737,GLI3,0.44,0.85,1.00,NULL,NULL,400,190
2739,GLO1,0.54,0.77,0.00,NULL,NULL,137,141
2740,GLP1R,0.47,0.85,0.29,"G-protein coupled receptor",DTO_02300001,288,999
2744,GLS,0.49,0.81,0.96,Enzyme,DTO_05007624,217,256
2752,GLUL,0.51,0.73,1.00,Enzyme,DTO_05007624,200,235
2767,GNA11,0.56,0.73,0.89,"Enzyme modulator",DTO_05007584,122,120
2768,GNA12,0.55,0.77,0.97,"Enzyme modulator",DTO_05007584,130,130
2775,GNAO1,0.52,0.81,0.99,"Enzyme modulator",DTO_05007584,188,143
2776,GNAQ,0.52,0.81,0.98,"Enzyme modulator",DTO_05007584,219,181
2778,GNAS,0.42,0.89,0.68,"Enzyme modulator",DTO_05007584,536,549
2784,GNB3,0.52,0.81,0.00,Enzyme,DTO_05007624,192,223
2796,GNRH1,0.52,0.73,0.15,NULL,NULL,179,133
2798,GNRHR,0.54,0.65,0.07,"G-protein coupled receptor",DTO_02300001,133,178
2806,GOT2,0.53,0.73,0.01,NULL,NULL,148,145
2810,SFN,0.56,0.77,0.37,Chaperone,DTO_05007613,105,109
2811,GP1BA,0.57,0.69,0.00,Receptor,DTO_05007575,132,128
2821,GPI,0.49,0.77,0.00,Enzyme,DTO_05007624,218,266
2833,CXCR3,0.44,0.81,0.18,"G-protein coupled receptor",DTO_02300001,367,379
2852,GPER1,0.51,0.73,0.57,"G-protein coupled receptor",DTO_02300001,180,230
2866,GPR42,0.48,0.85,0.05,"G-protein coupled receptor",DTO_02300001,255,419
2875,GPT,0.40,0.92,0.00,Enzyme,DTO_05007624,511,2202
2876,GPX1,0.46,0.92,0.00,Enzyme,DTO_05007624,290,285
2878,GPX3,0.52,0.77,0.05,Enzyme,DTO_05007624,156,112
2879,GPX4,0.52,0.81,0.00,Enzyme,DTO_05007624,201,107
2885,GRB2,0.55,0.77,0.94,NULL,NULL,122,129
2890,GRIA1,0.57,0.58,1.00,"Ion channel",DTO_01300327,126,156
2891,GRIA2,0.57,0.69,1.00,"Ion channel",DTO_01300327,110,113
2896,GRN,0.44,0.85,0.07,NULL,NULL,412,695
2902,GRIN1,0.56,0.69,0.98,"Ion channel",DTO_01300327,150,149
2903,GRIN2A,0.52,0.81,1.00,"Ion channel",DTO_01300327,212,171
2904,GRIN2B,0.51,0.69,1.00,"Ion channel",DTO_01300327,249,353
2908,NR3C1,0.39,0.89,0.97,"Nuclear receptor",DTO_00102000,590,1078
2911,GRM1,0.53,0.81,0.14,"G-protein coupled receptor",DTO_02300001,172,130
2912,GRM2,0.58,0.58,0.12,"G-protein coupled receptor",DTO_02300001,104,111
2913,GRM3,0.61,0.54,0.78,"G-protein coupled receptor",DTO_02300001,79,100
2915,GRM5,0.53,0.85,1.00,"G-protein coupled receptor",DTO_02300001,189,249
2919,CXCL1,0.45,0.92,0.12,Signaling,DTO_05007599,315,369
2920,CXCL2,0.51,0.89,0.00,Signaling,DTO_05007599,186,165
2922,GRP,0.52,0.77,0.00,NULL,NULL,172,221
2925,GRPR,0.60,0.54,0.22,"G-protein coupled receptor",DTO_02300001,85,131
2932,GSK3B,0.43,0.85,0.96,Kinase,DTO_03300101,393,770
2934,GSN,0.48,0.89,0.00,"Cellular structure",DTO_05007530,262,266
2936,GSR,0.49,0.85,0.00,Enzyme,DTO_05007624,206,170
2944,GSTM1,0.38,0.92,0.00,NULL,NULL,627,1747
2946,GSTM2,0.49,0.81,0.00,NULL,NULL,195,317
2950,GSTP1,0.38,0.92,0.01,NULL,NULL,610,1220
2952,GSTT1,0.39,0.92,0.00,NULL,NULL,541,1259
