diseaseId,diseaseName,diseaseType,diseaseClass,diseaseSemanticType,NofGenes,NofPmids
C0017160,Gastroenteritis,disease,C06,"Disease or Syndrome",94,75
C0017162,"Gastroenteritis, Transmissible, of Swine",disease,C01;C22,"Disease or Syndrome",1,1
C0017168,"Gastroesophageal reflux disease",disease,C06,"Disease or Syndrome",446,214
C0017178,"Gastrointestinal Diseases",group,C06,"Disease or Syndrome",144,135
C0017181,"Gastrointestinal Hemorrhage",phenotype,C23;C06,"Pathologic Function",122,9
C0017185,"Gastrointestinal Neoplasms",group,C06;C04,"Neoplastic Process",182,150
C0017205,"Gaucher Disease",disease,C16;C18;C10,"Disease or Syndrome",143,450
C0017250,"Psychosexual identity disorder",group,F03;F01,"Mental or Behavioral Dysfunction",5,2
C0017332,"Generalized Nonconvulsive Seizure Disorder",disease,C10,"Disease or Syndrome",4,4
C0017409,"Herpes Zoster Oticus",disease,C01;C10;C07;C09,"Disease or Syndrome",1,1
C0017411,"Female Genital Diseases",group,C13,"Disease or Syndrome",21,17
C0017412,"Genital Diseases, Male",group,C12,"Disease or Syndrome",1,1
C0017416,"Genital Neoplasms, Female",group,C04;C13,"Neoplastic Process",12,8
C0017494,"Gerstmann Syndrome",disease,C23;C10;F01,"Mental or Behavioral Dysfunction",1,1
C0017495,"Gerstmann-Straussler-Scheinker Disease",disease,C16;C01;C10,"Disease or Syndrome",56,192
C0017525,"Giant Cell Tumors",group,C04,"Neoplastic Process",76,80
C0017531,"Angiolymphoid hyperplasia",disease,C20;C15,"Disease or Syndrome",22,42
C0017536,Giardiasis,disease,C06;C01,"Disease or Syndrome",48,65
C0017547,Gigantism,disease,C05;C19,"Disease or Syndrome",16,28
C0017551,"Gilbert Disease (disorder)",disease,C16;C18,"Disease or Syndrome",40,140
C0017563,"Gingival Diseases",group,C07,"Disease or Syndrome",4,3
C0017565,"Gingival Hemorrhage",phenotype,C23;C07,"Pathologic Function",50,1
C0017566,"Gingival Hyperplasia",phenotype,C07,"Pathologic Function",2,2
C0017567,"Gingival Hypertrophy",disease,C07,"Disease or Syndrome",7,8
C0017570,"Gingival Neoplasms",group,C04;C07,"Neoplastic Process",1,1
C0017572,"Gingival Recession",disease,C07,"Disease or Syndrome",14,9
C0017574,Gingivitis,disease,C01;C07,"Disease or Syndrome",152,102
C0017575,"Necrotizing Ulcerative Gingivitis",disease,C01;C07,"Disease or Syndrome",1,1
C0017577,"Chronic desquamative gingivitis",disease,C07,"Disease or Syndrome",2,2
C0017601,Glaucoma,disease,C11,"Disease or Syndrome",770,893
C0017605,"Angle Closure Glaucoma",disease,C11,"Disease or Syndrome",94,89
C0017606,"Primary angle-closure glaucoma",disease,C11,"Disease or Syndrome",87,71
C0017609,"Glaucoma, Neovascular",disease,C11,"Disease or Syndrome",23,18
C0017612,"Glaucoma, Open-Angle",disease,C11,"Disease or Syndrome",130,213
C0017614,"Glaucoma, Suspect",disease,C11,"Disease or Syndrome",6,8
C0017636,Glioblastoma,disease,C04,"Neoplastic Process",3177,7045
C0017638,Glioma,disease,C04,"Neoplastic Process",3097,6158
C0017639,Gliosis,phenotype,C23,"Pathologic Function",102,22
C0017650,"Globus Hystericus",phenotype,F03,"Sign or Symptom",3,2
C0017653,"Glomus Tumor",disease,C04,"Neoplastic Process",18,14
C0017654,"Glomerular Filtration Rate",phenotype,NULL,"Diagnostic Procedure",399,17
C0017657,"Glomerulitis (disorder)",disease,C23;C13;C12,"Disease or Syndrome",8,7
C0017658,Glomerulonephritis,disease,C13;C12,"Disease or Syndrome",391,467
C0017661,"IGA Glomerulonephritis",disease,C13;C12;C20,"Disease or Syndrome",456,684
C0017662,"Glomerulonephritis, Membranoproliferative",disease,C13;C12;C20,"Disease or Syndrome",57,76
C0017665,"Membranous glomerulonephritis",disease,C13;C12;C20,"Disease or Syndrome",197,277
C0017667,"Nodular glomerulosclerosis",disease,C13;C12;C19,"Disease or Syndrome",59,61
C0017668,"Focal glomerulosclerosis",disease,C13;C12,"Disease or Syndrome",281,444
C0017671,"Glomus Jugulare Tumor",disease,C04,"Neoplastic Process",5,2
C0017672,Glossalgia,phenotype,C23;C07,"Sign or Symptom",11,4
C0017675,Glossitis,disease,C07,"Disease or Syndrome",7,1
C0017677,"Glossitis, Benign Migratory",disease,C07,"Disease or Syndrome",53,26
C0017689,Glucagonoma,disease,C06;C04;C19,"Neoplastic Process",23,22
C0017741,"Glucose tolerance test",phenotype,NULL,"Laboratory Procedure",17,5
C0017919,"Glycogen Storage Disease",group,C16;C18,"Disease or Syndrome",63,185
C0017920,"Glycogen Storage Disease Type I",disease,C16;C18,"Disease or Syndrome",24,94
C0017921,"Glycogen storage disease type II",disease,C16;C18;C10,"Disease or Syndrome",194,657
C0017922,"Glycogen Storage Disease Type III",disease,C16;C18,"Disease or Syndrome",8,87
C0017923,"Glycogen Storage Disease Type IV",disease,C16;C18,"Disease or Syndrome",10,57
C0017924,"Glycogen Storage Disease Type V",disease,C16;C18,"Disease or Syndrome",22,107
C0017925,"Glycogen Storage Disease Type VI",disease,C16;C18,"Disease or Syndrome",15,20
C0017926,"Glycogen Storage Disease Type VII",disease,C16;C18;C05;C10,"Disease or Syndrome",9,20
C0017927,"Glycogen Storage Disease Type VIII",disease,C16;C18,"Disease or Syndrome",7,3
C0017979,Glycosuria,phenotype,C18;C13;C12,Finding,53,1
C0017980,"Glycosuria, Renal",disease,C16;C18;C13;C12,"Disease or Syndrome",11,20
C0018013,Gnathostomiasis,disease,C01,"Disease or Syndrome",5,5
C0018021,Goiter,phenotype,C19,"Disease or Syndrome",142,180
C0018022,"Endemic goiter",disease,C19,"Disease or Syndrome",3,8
C0018023,"Nodular Goiter",disease,C19,"Disease or Syndrome",55,34
C0018036,"Hypertension, Goldblatt",disease,C13;C12;C14,"Disease or Syndrome",4,4
C0018050,"Gonadal Disorders",group,C19,"Disease or Syndrome",6,7
C0018051,"Gonadal Dysgenesis",disease,C16;C13;C12;C19,"Congenital Abnormality",53,76
C0018054,"Gonadal Dysgenesis, 46,XY",disease,C16;C13;C12;C19,"Disease or Syndrome",29,56
C0018055,"Gonadal Dysgenesis, Mixed",disease,C16;C13;C12;C19,"Disease or Syndrome",11,12
C0018078,"Gonococcal urethritis",disease,C13;C01;C12,"Disease or Syndrome",3,2
C0018081,Gonorrhea,disease,C13;C01;C12,"Disease or Syndrome",261,246
C0018099,Gout,disease,C16;C18;C05,"Disease or Syndrome",205,57
C0018121,"Gradenigo Syndrome",disease,C01;C05;C09,"Disease or Syndrome",1,1
C0018128,"Graft Occlusion, Vascular",phenotype,C23,"Pathologic Function",2,5
C0018129,"Graft Rejection",phenotype,NULL,"Organ or Tissue Function",47,48
C0018133,"Graft-vs-Host Disease",disease,C20,"Disease or Syndrome",447,633
C0018179,"Granular Dystrophy, Corneal",disease,C16;C11,"Disease or Syndrome",8,31
C0018188,Granuloma,phenotype,C23;C15,"Pathologic Function",24,15
C0018193,"Granuloma, Foreign-Body",phenotype,C23;C26,"Pathologic Function",1,1
C0018194,"Giant Cell Granuloma",phenotype,C23;C05;C07,"Pathologic Function",4,4
C0018196,"Granuloma, Laryngeal",phenotype,C23;C08;C09,"Disease or Syndrome",1,1
C0018197,"Granuloma, Lethal Midline",disease,C08;C09,"Neoplastic Process",1,3
C0018199,"Granuloma, Plasma Cell",phenotype,C23,"Pathologic Function",2,3
C0018200,"Granuloma, Respiratory Tract",phenotype,C23;C08,"Pathologic Function",4,4
C0018202,"Granulomatous Angiitis",disease,C20;C10;C14,"Disease or Syndrome",6,5
C0018203,"Chronic granulomatous disease",group,C16;C20;C15,"Disease or Syndrome",105,382
C0018204,"Granulomatous prostatitis",disease,C12,"Disease or Syndrome",4,5
C0018206,"granulosa cell tumor",disease,C04;C13;C19,"Neoplastic Process",88,118
C0018213,"Graves Disease",disease,C11;C20;C19,"Disease or Syndrome",585,1046
C0018245,"Groenouw's Dystrophies",disease,C16;C11,"Disease or Syndrome",3,2
C0018273,"Growth Disorders",group,C23,"Pathologic Function",39,45
C0018378,"Guillain-Barre Syndrome",disease,C20;C10,"Disease or Syndrome",163,153
C0018413,Gynandroblastoma,disease,C04,"Neoplastic Process",3,7
C0018418,Gynecomastia,disease,C17,"Disease or Syndrome",121,42
C0018425,"Gyrate Atrophy",disease,C16;C11,"Disease or Syndrome",8,53
C0018482,"Haemophilus Infections",group,C01,"Disease or Syndrome",8,5
C0018498,"Hair Color",phenotype,NULL,"Organism Attribute",130,7
C0018500,"Hair Diseases",group,C17,"Disease or Syndrome",17,17
C0018520,Halitosis,phenotype,C23,"Sign or Symptom",48,2
C0018522,"Hallermann's Syndrome",disease,C16;C05,"Disease or Syndrome",13,16
C0018523,"Hallervorden-Spatz Syndrome",disease,C16;C10,"Disease or Syndrome",22,106
C0018524,Hallucinations,disease,C23;C10;F01,"Mental or Behavioral Dysfunction",178,76
C0018536,"Hallux Valgus",disease,C05,"Anatomical Abnormality",61,14
C0018552,Hamartoma,disease,C04,"Neoplastic Process",91,169
C0018553,"Hamartoma Syndrome, Multiple",disease,C16;C04,"Neoplastic Process",270,528
C0018564,"Hand deformities",group,C05,"Anatomical Abnormality",60,15
C0018566,"Congenital Hand Deformities",group,C16;C05,"Congenital Abnormality",15,13
C0018572,"Hand, Foot and Mouth Disease",disease,C01,"Disease or Syndrome",63,63
C0018598,"Melanoma, Harding-Passey",disease,C04,"Neoplastic Process; Experimental Model of Disease",7,5
C0018609,"Hartnup Disease",disease,C16;C18;C13;C12;C10,"Disease or Syndrome",12,24
C0018614,"Hashish Abuse",disease,C25;F03,"Disease or Syndrome",10,4
C0018621,"Hay fever",disease,C08;C20;C09,"Disease or Syndrome",114,69
C0018671,"Head and Neck Neoplasms",group,C04,"Neoplastic Process",124,113
C0018672,"Head Banging",phenotype,F03,"Mental or Behavioral Dysfunction",7,3
C0018675,"Head Neoplasms",group,C04,"Neoplastic Process",24,18
C0018681,Headache,phenotype,C23,"Sign or Symptom",338,187
C0018775,"Hearing Loss, Bilateral",disease,C23;C10;C09,"Disease or Syndrome",4,5
C0018776,"Hearing Loss, Central",disease,C23;C10;C09,"Disease or Syndrome",12,6
C0018777,"Conductive hearing loss",disease,C23;C10;C09,"Disease or Syndrome",291,23
C0018780,"Hearing Loss, High-Frequency",disease,C23;C10;C09,"Disease or Syndrome",35,25
C0018781,"Noise-induced hearing loss",disease,C23;C10;C09,"Injury or Poisoning",33,12
C0018784,"Sensorineural Hearing Loss (disorder)",disease,C23;C10;C09,"Disease or Syndrome",783,567
C0018790,"Cardiac Arrest",disease,C14,"Disease or Syndrome",411,497
C0018794,"Heart Block",disease,C23;C14,"Disease or Syndrome",58,42
C0018798,"Congenital Heart Defects",group,C16;C14,"Congenital Abnormality",406,472
C0018799,"Heart Diseases",group,C14,"Disease or Syndrome",537,743
C0018800,Cardiomegaly,phenotype,C23;C14,Finding,267,213
C0018801,"Heart failure",disease,C14,"Disease or Syndrome",1499,3450
C0018802,"Congestive heart failure",disease,C14,"Disease or Syndrome",1760,3882
C0018803,"Heart Function Tests",phenotype,NULL,"Diagnostic Procedure",17,2
C0018808,"Heart murmur",phenotype,C23,Finding,31,2
C0018809,"Heart Neoplasm",disease,C04;C14,"Neoplastic Process",17,10
C0018810,"heart rate",phenotype,NULL,"Clinical Attribute",36,8
C0018813,"Myocardial rupture",disease,C14,"Disease or Syndrome",14,12
C0018814,"Heart Rupture, Post-Infarction",disease,C14,"Disease or Syndrome",1,1
C0018816,"Heart Septal Defects",group,C16;C14,"Congenital Abnormality",77,40
C0018817,"Atrial Septal Defects",group,C16;C14,"Congenital Abnormality",384,210
C0018818,"Ventricular Septal Defects",group,C16;C14,"Congenital Abnormality",426,179
C0018824,"Heart valve disease",group,C14,"Disease or Syndrome",79,56
C0018834,Heartburn,phenotype,C23,"Sign or Symptom",139,102
C0018835,"Heartwater Disease",disease,C01;C22,"Disease or Syndrome",4,3
C0018852,"Heavy Chain Disease",group,C20;C15,"Neoplastic Process",6,7
C0018854,"gamma-Chain Disease",disease,C20;C15,"Disease or Syndrome",2,1
C0018862,"Heberden node",phenotype,C05,"Disease or Syndrome",8,3
C0018889,Helminthiasis,disease,C01,"Disease or Syndrome",59,75
C0018915,Hemangioendothelioma,disease,C04,"Neoplastic Process",26,19
C0018916,Hemangioma,disease,C04,"Neoplastic Process",256,186
C0018920,"Hemangioma, Cavernous",disease,C04;C15;C14,"Neoplastic Process",36,10
C0018922,hemangiopericytoma,disease,C04,"Neoplastic Process",32,41
C0018923,Hemangiosarcoma,disease,C04,"Neoplastic Process",162,163
C0018924,Hemarthrosis,phenotype,C23;C05,"Pathologic Function",13,0
C0018926,Hematemesis,phenotype,C23;C06,"Sign or Symptom",14,5
C0018932,Hematochezia,phenotype,C23;C06,"Disease or Syndrome",37,20
C0018935,"Hematocrit procedure",phenotype,NULL,"Laboratory Procedure",138,14
C0018939,"Hematological Disease",group,C15,"Disease or Syndrome",255,276
C0018944,Hematoma,phenotype,C23,"Pathologic Function",1,2
C0018946,"Hematoma, Subdural",phenotype,C23;C10;C14;C26,"Pathologic Function",3,1
C0018949,Hematomyelia,disease,C10;C14,"Disease or Syndrome",2,2
C0018952,"Extramedullary Hematopoiesis Function",phenotype,NULL,"Organ or Tissue Function",16,0
C0018965,Hematuria,phenotype,C23;C13;C12,"Disease or Syndrome",235,139
C0018975,Hemeralopia,disease,C23;C11;C10,"Disease or Syndrome",12,4
C0018979,Hemianopsia,disease,C23;C11;C10,"Disease or Syndrome",41,5
C0018984,"Hemicrania migraine",disease,C10,"Disease or Syndrome",9,7
C0018987,Hemimelia,disease,C16;C05,"Congenital Abnormality",3,3
C0018989,Hemiparesis,phenotype,C23;C10,"Sign or Symptom",91,11
C0018991,Hemiplegia,phenotype,C23;C10,"Sign or Symptom",41,20
C0018995,Hemochromatosis,disease,C16;C18,"Disease or Syndrome",93,639
C0019021,"Hemoglobin C Disease",disease,C16;C15,"Disease or Syndrome",3,2
C0019025,"Hemoglobin F Disease",disease,C16;C15,"Disease or Syndrome",27,89
C0019029,"Hemoglobin concentration result",phenotype,NULL,"Laboratory or Test Result",3,1
C0019034,"Hemoglobin SC Disease",disease,C16;C15,"Disease or Syndrome",7,11
C0019045,Hemoglobinopathies,group,C16;C15,"Disease or Syndrome",80,232
C0019048,Hemoglobinuria,disease,C23;C13;C12,Finding,8,0
C0019050,"Hemoglobinuria, Paroxysmal",disease,C15,"Disease or Syndrome",9,9
C0019054,"Hemolysis (disorder)",phenotype,C23,"Pathologic Function",6,3
C0019061,"Hemolytic-Uremic Syndrome",disease,C13;C12;C15,"Disease or Syndrome",110,272
C0019064,Hemopericardium,phenotype,C14,"Pathologic Function",2,2
C0019065,Hemoperitoneum,phenotype,C23;C06,"Pathologic Function",1,0
C0019068,"Reactive Hemophagocytic Syndrome",disease,C15,"Disease or Syndrome",2,2
C0019069,"Hemophilia A",disease,C16;C15,"Disease or Syndrome",143,1055
C0019079,Hemoptysis,phenotype,C23;C08,"Sign or Symptom",67,11
C0019080,Hemorrhage,phenotype,C23,"Pathologic Function",47,65
C0019087,"Hemorrhagic Disorders",group,C15,"Disease or Syndrome",30,31
C0019096,"Hemorrhagic Fever, American",disease,C01,"Disease or Syndrome",1,1
C0019097,"Hemorrhagic Fever, Argentinian",disease,C01,"Disease or Syndrome",9,5
C0019099,"Hemorrhagic Fever, Crimean",disease,C01,"Disease or Syndrome",47,42
C0019100,"Severe Dengue",disease,C01,"Disease or Syndrome",117,111
C0019101,"Hemorrhagic Fever with Renal Syndrome",disease,C01,"Disease or Syndrome",51,30
C0019104,"Hemorrhagic Fevers, Viral",disease,C01,"Disease or Syndrome",57,25
C0019112,Hemorrhoids,disease,C06;C14,"Disease or Syndrome",24,13
C0019114,Hemosiderosis,disease,C18,"Disease or Syndrome",8,9
C0019123,Hemothorax,phenotype,C23;C08,"Pathologic Function",1,0
C0019147,"Hepatic Coma",disease,C06;C18;C10,"Disease or Syndrome",14,10
C0019151,"Hepatic Encephalopathy",disease,C06;C18;C10,"Disease or Syndrome",100,88
C0019154,"Hepatic Vein Thrombosis",disease,C06;C14,"Disease or Syndrome",23,39
C0019156,"Hepatic Veno-Occlusive Disease",disease,C06;C14,"Disease or Syndrome",37,35
C0019158,Hepatitis,group,C06,"Disease or Syndrome",656,818
C0019159,"Hepatitis A",disease,C06;C01,"Disease or Syndrome",451,591
C0019163,"Hepatitis B",disease,C06;C01,"Disease or Syndrome",1449,3121
C0019187,"Hepatitis, Alcoholic",disease,C06;C25,"Disease or Syndrome",133,96
C0019188,"Hepatitis, Animal",disease,C06;C01;C22,"Disease or Syndrome",11,6
C0019189,"Hepatitis, Chronic",disease,C06,"Disease or Syndrome",224,206
C0019193,"Hepatitis, Toxic",disease,C06;C25,"Injury or Poisoning",412,140
C0019195,"Hepatitis, Viral, Human",disease,C06;C01,"Disease or Syndrome",2,1
C0019196,"Hepatitis C",disease,C06;C01,"Disease or Syndrome",1768,5037
C0019202,"Hepatolenticular Degeneration",disease,C16;C06;C18;C10,"Disease or Syndrome",146,601
C0019207,"Hepatoma, Morris",disease,C06;C04,"Neoplastic Process; Experimental Model of Disease",124,48
C0019208,"Hepatoma, Novikoff",disease,C06;C04,"Neoplastic Process; Experimental Model of Disease",125,42
C0019209,Hepatomegaly,phenotype,C23;C06,Finding,523,30
C0019212,"Hepatorenal Syndrome",disease,C06;C13;C12,"Disease or Syndrome",25,30
C0019214,Hepatosplenomegaly,phenotype,C23;C06;C15,"Sign or Symptom",127,44
C0019243,"Angioedemas, Hereditary",disease,C16;C17;C20;C14,"Disease or Syndrome",54,403
C0019250,"Hereditary factor I deficiency disease",disease,C16;C15,"Disease or Syndrome",1,0
C0019269,Hermaphroditism,disease,C16;C13;C12;C19,"Disease or Syndrome",34,25
C0019270,Hernia,phenotype,C23,"Anatomical Abnormality",136,93
C0019284,"Diaphragmatic Hernia",phenotype,C23,"Disease or Syndrome",78,81
C0019288,"Hernia, Femoral",disease,C23,"Acquired Abnormality",18,0
C0019294,"Hernia, Inguinal",phenotype,C23,"Anatomical Abnormality",225,20
C0019295,"Inguinal Hernia, Direct",phenotype,C23,"Disease or Syndrome",1,1
C0019296,"Inguinal Hernia, Indirect",disease,C23,"Disease or Syndrome",7,7
C0019322,"Umbilical hernia",phenotype,C23;C16;C13,"Disease or Syndrome",27,8
C0019326,"Ventral Hernia",phenotype,C23,"Anatomical Abnormality",13,7
C0019337,"Heroin Dependence",disease,C25;F03,"Mental or Behavioral Dysfunction",100,114
C0019338,Herpangina,disease,C01,"Disease or Syndrome",1,1
C0019340,"Herpes NOS",disease,C01,"Disease or Syndrome",114,140
C0019342,"Genital Herpes",disease,C13;C01;C12,"Disease or Syndrome",17,17
C0019343,"Pemphigoid Gestationis",phenotype,C13;C17,"Disease or Syndrome",8,12
C0019345,"Herpes Labialis",disease,C01;C17;C07,"Disease or Syndrome",6,7
C0019348,"Herpes Simplex Infections",group,C01;C17,"Disease or Syndrome",645,915
C0019357,"Keratitis, Herpetic",disease,C01;C11,"Disease or Syndrome",23,21
C0019360,"Herpes zoster disease",group,C01,"Disease or Syndrome",51,50
C0019364,"Herpes Zoster Ophthalmicus",disease,C01;C11,"Disease or Syndrome",1,1
C0019372,"Herpesviridae Infections",group,C01,"Disease or Syndrome",62,51
C0019385,"Herpetic meningoencephalitis",disease,C01;C10,"Disease or Syndrome",6,5
C0019489,"Deficiency, Hexosediphosphatase",disease,C16;C18,"Disease or Syndrome",1,1
C0019522,"Adenoma, Sweat Gland",disease,C04,"Neoplastic Process",10,4
C0019553,"Hip Contracture",disease,C05,"Acquired Abnormality",34,1
C0019555,"Hip Dislocation, Congenital",disease,C16;C05;C26,"Congenital Abnormality",6,3
C0019559,"Hip joint pain",phenotype,C23;C05,"Sign or Symptom",24,11
C0019562,"Von Hippel-Lindau Syndrome",disease,C16;C10;C14,"Disease or Syndrome",174,557
C0019569,"Hirschsprung Disease",disease,C16;C06,"Disease or Syndrome",384,611
C0019572,Hirsutism,phenotype,C23;C17,Finding,88,3
C0019613,"Histiocytic Disorders, Malignant",group,C04;C15,"Neoplastic Process",1,1
C0019618,Histiocytosis,disease,C15,"Neoplastic Process",32,35
C0019621,"Histiocytosis, Langerhans-Cell",disease,C08;C15,"Neoplastic Process",104,143
C0019623,"Malignant histiocytosis",disease,C04;C15,"Neoplastic Process",19,19
C0019624,"Histiocytosis, Non-Langerhans-Cell",disease,C15,"Disease or Syndrome",9,4
C0019625,"Sinus histiocytosis",disease,C15,"Disease or Syndrome",19,24
C0019640,Histomoniasis,disease,C01,"Disease or Syndrome",1,1
C0019655,Histoplasmosis,disease,C01,"Disease or Syndrome",16,14
C0019693,"HIV Infections",group,C01;C20,"Disease or Syndrome",807,1371
C0019699,"HIV Seropositivity",phenotype,C01;C20,"Laboratory or Test Result",1,1
C0019816,"Hereditary, Type VII, Motor and Sensory Neuropathy",disease,C16;C10,"Disease or Syndrome",6,3
C0019825,Hoarseness,phenotype,C23;C08;C10;C09,"Sign or Symptom",84,30
C0019829,"Hodgkin Disease",disease,C04;C20;C15,"Neoplastic Process",900,1430
C0019880,Homocystinuria,disease,C16;C18;C17;C10,"Disease or Syndrome",39,152
C0019911,"Hookworm Infections",group,C01,"Disease or Syndrome",13,10
C0019937,"Horner Syndrome",disease,C23;C11;C10,"Disease or Syndrome",2,1
C0020039,Hostility,phenotype,F01,"Mental Process",1,0
C0020058,"Howell-Jolly Bodies",disease,NULL,"Acquired Abnormality",5,1
C0020071,"Hereditary Sensory Autonomic Neuropathy, Type 1",disease,C16;C10,"Disease or Syndrome",32,58
C0020072,"Hereditary Sensory Autonomic Neuropathy, Type 2",disease,C16;C10,"Disease or Syndrome",8,17
C0020074,"HSAN Type IV",disease,C16;C10,"Disease or Syndrome",9,68
C0020075,"Hereditary Sensory Autonomic Neuropathy, Type 5",disease,C16;C10,"Disease or Syndrome",7,24
C0020097,"HTLV-I Infections",group,C01;C20,"Disease or Syndrome",134,146
C0020102,"HTLV-II Infections",group,C01;C20,"Disease or Syndrome",9,2
C0020175,Hunger,phenotype,F01,"Sign or Symptom",70,118
C0020179,"Huntington Disease",disease,C16;C10;F03,"Disease or Syndrome",978,2222
C0020192,"Hyaline Membrane Disease",disease,C16;C08,"Disease or Syndrome",15,20
C0020217,"Hydatidiform Mole",disease,C04;C13,"Neoplastic Process",123,134
C0020224,Polyhydramnios,phenotype,C13,"Pathologic Function",208,7
C0020225,Hydranencephaly,disease,C16;C10,"Congenital Abnormality",15,8
C0020241,"Hydroa Vacciniforme",disease,C17,"Disease or Syndrome",4,4
C0020255,Hydrocephalus,disease,C10,"Disease or Syndrome",473,265
C0020256,"Congenital Hydrocephalus",disease,C10,"Congenital Abnormality",39,41
C0020258,"Hydrocephalus, Normal Pressure",disease,C10,"Disease or Syndrome",44,51
C0020295,Hydronephrosis,disease,C13;C12,"Disease or Syndrome",253,80
C0020302,Hydrophthalmos,disease,C16;C11,"Congenital Abnormality",60,74
C0020305,"Hydrops Fetalis",disease,C23;C16;C13;C20;C15,"Disease or Syndrome",92,61
C0020312,Hydrothorax,disease,C08,"Disease or Syndrome",8,8
C0020413,Hymenolepiasis,disease,C01,"Disease or Syndrome",1,1
C0020428,Hyperaldosteronism,disease,C19,"Disease or Syndrome",84,135
C0020429,Hyperalgesia,phenotype,C23;C10,"Sign or Symptom",451,630
C0020433,Hyperbilirubinemia,disease,C23,"Disease or Syndrome",131,244
C0020435,"Hyperbilirubinemia, Hereditary",disease,C16;C18,"Disease or Syndrome",8,9
C0020437,Hypercalcemia,disease,C18,"Disease or Syndrome",157,459
C0020438,Hypercalciuria,phenotype,C23,Finding,60,13
C0020440,Hypercapnia,phenotype,C23,Finding,11,3
C0020441,Hypercementosis,disease,C07,"Disease or Syndrome",2,3
C0020443,Hypercholesterolemia,disease,C18,"Disease or Syndrome",489,921
C0020445,"Hypercholesterolemia, Familial",disease,C16;C18,"Disease or Syndrome",203,1245
C0020449,Hyperdistention,phenotype,C23,"Anatomical Abnormality",12,20
C0020450,"Hyperemesis Gravidarum",phenotype,C23;C13,"Sign or Symptom",21,17
C0020452,Hyperemia,disease,C14,"Disease or Syndrome",64,61
C0020453,Hyperesthesia,phenotype,C23;C10,"Sign or Symptom",6,4
C0020455,Hypergammaglobulinemia,disease,C23;C20;C15,"Disease or Syndrome",36,31
C0020456,Hyperglycemia,disease,C18,"Disease or Syndrome",1098,2081
C0020458,"Hyperhidrosis disorder",phenotype,C17,Finding,114,1
C0020459,Hyperinsulinism,disease,C18,"Disease or Syndrome",620,893
C0020461,Hyperkalemia,phenotype,C18,Finding,32,4
C0020473,Hyperlipidemia,disease,C18,"Disease or Syndrome",472,670
C0020474,"Hyperlipidemia, Familial Combined",disease,C16;C18,"Disease or Syndrome",91,181
C0020476,Hyperlipoproteinemias,disease,C18,"Disease or Syndrome",49,78
C0020479,"Hyperlipoproteinemia Type III",disease,C16;C18,"Disease or Syndrome",28,113
C0020480,"Hyperlipoproteinemia Type IV",disease,C16;C18,"Disease or Syndrome",11,23
C0020481,"Hyperlipoproteinemia Type V",disease,C16;C18,"Disease or Syndrome",3,8
C0020488,Hypernatremia,phenotype,C18,"Disease or Syndrome",59,70
C0020490,Hyperopia,disease,C11,"Disease or Syndrome",142,29
C0020492,Hyperostosis,disease,C05,"Disease or Syndrome",50,39
C0020494,"Hyperostosis Frontalis Interna",disease,C05,"Disease or Syndrome",4,2
C0020496,"Hyperostosis of skull",disease,C05,"Disease or Syndrome",4,3
C0020497,"Cortical Congenital Hyperostosis",disease,C16;C05,"Disease or Syndrome",5,10
C0020498,"Hyperostosis, Diffuse Idiopathic Skeletal",disease,C05,"Disease or Syndrome",9,6
C0020500,Hyperoxaluria,disease,C13;C12,"Disease or Syndrome",49,41
C0020501,"Primary Hyperoxaluria",disease,C16;C18;C13;C12,"Disease or Syndrome",16,47
C0020502,Hyperparathyroidism,disease,C19,"Disease or Syndrome",111,230
C0020503,"Hyperparathyroidism, Secondary",disease,C19,"Disease or Syndrome",68,195
C0020505,Hyperphagia,phenotype,C23,Finding,60,17
C0020507,Hyperplasia,phenotype,C23,"Pathologic Function",131,136
C0020514,Hyperprolactinemia,disease,C10;C19,"Disease or Syndrome",48,138
C0020517,Hypersensitivity,group,C20,"Pathologic Function",90,39
C0020522,"Delayed Hypersensitivity",phenotype,C20,"Pathologic Function",7,6
C0020523,"Immediate hypersensitivity",phenotype,C20,"Pathologic Function",14,8
C0020524,"Disorders of Excessive Somnolence",group,C10;F03,"Mental or Behavioral Dysfunction",2,2
C0020529,"Hypersomnia with Periodic Respiration",disease,C08;C10,"Disease or Syndrome",1,1
C0020532,Hypersplenism,disease,C15,"Disease or Syndrome",22,11
C0020534,"Orbital separation excessive",phenotype,C16;C05,Finding,590,14
C0020538,"Hypertensive disease",group,C14,"Disease or Syndrome",2322,7391
C0020540,"Malignant Hypertension",disease,C14,"Disease or Syndrome",23,28
C0020541,"Portal Hypertension",disease,C06,"Disease or Syndrome",167,140
C0020542,"Pulmonary Hypertension",phenotype,C08,"Pathologic Function",156,187
C0020544,"Renal hypertension",disease,C13;C12;C14,"Disease or Syndrome",36,27
C0020545,"Hypertension, Renovascular",disease,C13;C12;C14,"Disease or Syndrome",78,74
C0020546,"Hypertensive crisis",phenotype,C10;C14,"Pathologic Function",19,0
C0020550,Hyperthyroidism,disease,C19,"Disease or Syndrome",279,320
C0020551,Hyperthyroxinemia,disease,C19,"Disease or Syndrome",5,13
C0020555,Hypertrichosis,disease,C17,"Disease or Syndrome",92,28
C0020557,Hypertriglyceridemia,phenotype,C18,"Disease or Syndrome",340,694
C0020564,Hypertrophy,phenotype,C23,"Pathologic Function",18,19
